lat,lon,u,v,speed_ms,dir_deg,source,date
37.33334,-76.33333,-0.00621,-0.0047,0.0078,232.9,CMEMS,2026-09-17
37.33334,-76.25,-0.01293,-0.04,0.042,197.9,CMEMS,2026-09-17
37.33334,-76.16666,-0.00789,-0.05981,0.0603,187.5,CMEMS,2026-09-17
37.33334,-76.08333,-0.0042,-0.06996,0.0701,183.4,CMEMS,2026-09-17
37.33334,-76.0,0.00934,-0.12063,0.121,175.6,CMEMS,2026-09-17
37.33334,-75.75,0.02958,0.09021,0.0949,18.2,CMEMS,2026-09-17
37.33334,-75.66666,0.05659,0.11758,0.1305,25.7,CMEMS,2026-09-17
37.33334,-75.58333,0.07764,0.0662,0.102,49.5,CMEMS,2026-09-17
37.33334,-75.5,0.05485,0.01275,0.0563,76.9,CMEMS,2026-09-17
37.33334,-75.41666,0.06779,-0.02051,0.0708,106.8,CMEMS,2026-09-17
37.33334,-75.33333,0.07703,0.01673,0.0788,77.7,CMEMS,2026-09-17
37.33334,-75.25,0.0635,0.07069,0.095,41.9,CMEMS,2026-09-17
37.33334,-75.16666,0.0579,0.08514,0.103,34.2,CMEMS,2026-09-17
37.33334,-75.08333,0.05501,0.07667,0.0944,35.7,CMEMS,2026-09-17
37.33334,-75.0,0.056,0.05557,0.0789,45.2,CMEMS,2026-09-17
37.33334,-74.91666,0.05581,0.03581,0.0663,57.3,CMEMS,2026-09-17
37.33334,-74.83333,0.05203,0.03219,0.0612,58.3,CMEMS,2026-09-17
37.33334,-74.75,0.05167,0.02468,0.0573,64.5,CMEMS,2026-09-17
37.33334,-74.66666,0.0485,0.00085,0.0485,89.0,CMEMS,2026-09-17
37.33334,-74.58333,0.03971,-0.06348,0.0749,148.0,CMEMS,2026-09-17
37.33334,-74.5,0.02438,-0.14526,0.1473,170.5,CMEMS,2026-09-17
37.33334,-74.41666,-0.00228,-0.20274,0.2028,180.6,CMEMS,2026-09-17
37.33334,-74.33333,-0.0236,-0.21569,0.217,186.2,CMEMS,2026-09-17
37.33334,-74.25,-0.04866,-0.19774,0.2036,193.8,CMEMS,2026-09-17
37.33334,-74.16666,-0.06496,-0.2088,0.2187,197.3,CMEMS,2026-09-17
37.33334,-74.08333,-0.07454,-0.23625,0.2477,197.5,CMEMS,2026-09-17
37.33334,-74.0,-0.08613,-0.23939,0.2544,199.8,CMEMS,2026-09-17
37.33334,-73.91666,-0.08846,-0.22785,0.2444,201.2,CMEMS,2026-09-17
37.33334,-73.83333,-0.07692,-0.2071,0.2209,200.4,CMEMS,2026-09-17
37.33334,-73.75,-0.05232,-0.16886,0.1768,197.2,CMEMS,2026-09-17
37.33334,-73.66666,-0.02473,-0.11806,0.1206,191.8,CMEMS,2026-09-17
37.33334,-73.58333,-0.02135,-0.0648,0.0682,198.2,CMEMS,2026-09-17
37.33334,-73.5,-0.04762,-0.01339,0.0495,254.3,CMEMS,2026-09-17
