lat,lon,u,v,speed_ms,dir_deg,source,date
37.33334,-76.33333,-0.00303,0.02415,0.0243,352.8,CMEMS,2026-08-20
37.33334,-76.25,0.00209,0.04681,0.0469,2.6,CMEMS,2026-08-20
37.33334,-76.16666,0.00639,0.06466,0.065,5.6,CMEMS,2026-08-20
37.33334,-76.08333,0.00288,0.06229,0.0624,2.7,CMEMS,2026-08-20
37.33334,-76.0,0.01819,-0.02572,0.0315,144.7,CMEMS,2026-08-20
37.33334,-75.75,0.03902,0.1156,0.122,18.7,CMEMS,2026-08-20
37.33334,-75.66666,0.05938,0.12997,0.1429,24.6,CMEMS,2026-08-20
37.33334,-75.58333,0.09466,0.01157,0.0954,83.0,CMEMS,2026-08-20
37.33334,-75.5,0.07366,-0.02432,0.0776,108.3,CMEMS,2026-08-20
37.33334,-75.41666,0.06186,0.07367,0.0962,40.0,CMEMS,2026-08-20
37.33334,-75.33333,0.08762,0.10192,0.1344,40.7,CMEMS,2026-08-20
37.33334,-75.25,0.09737,0.11088,0.1476,41.3,CMEMS,2026-08-20
37.33334,-75.16666,0.08495,0.08409,0.1195,45.3,CMEMS,2026-08-20
37.33334,-75.08333,0.07207,0.05177,0.0887,54.3,CMEMS,2026-08-20
37.33334,-75.0,0.0709,0.03379,0.0785,64.5,CMEMS,2026-08-20
37.33334,-74.91666,0.07204,0.02747,0.0771,69.1,CMEMS,2026-08-20
37.33334,-74.83333,0.0719,0.03331,0.0792,65.1,CMEMS,2026-08-20
37.33334,-74.75,0.07305,0.04172,0.0841,60.3,CMEMS,2026-08-20
37.33334,-74.66666,0.08097,0.06639,0.1047,50.6,CMEMS,2026-08-20
37.33334,-74.58333,0.09692,0.11056,0.147,41.2,CMEMS,2026-08-20
37.33334,-74.5,0.11016,0.13178,0.1718,39.9,CMEMS,2026-08-20
37.33334,-74.41666,0.11251,0.12707,0.1697,41.5,CMEMS,2026-08-20
37.33334,-74.33333,0.1051,0.11811,0.1581,41.7,CMEMS,2026-08-20
37.33334,-74.25,0.09095,0.11614,0.1475,38.1,CMEMS,2026-08-20
37.33334,-74.16666,0.07631,0.11124,0.1349,34.5,CMEMS,2026-08-20
37.33334,-74.08333,0.06299,0.10062,0.1187,32.0,CMEMS,2026-08-20
37.33334,-74.0,0.05164,0.08165,0.0966,32.3,CMEMS,2026-08-20
37.33334,-73.91666,0.04036,0.06973,0.0806,30.1,CMEMS,2026-08-20
37.33334,-73.83333,0.03026,0.06165,0.0687,26.1,CMEMS,2026-08-20
37.33334,-73.75,0.01949,0.0223,0.0296,41.1,CMEMS,2026-08-20
37.33334,-73.66666,0.00176,-0.04886,0.0489,177.9,CMEMS,2026-08-20
37.33334,-73.58333,-0.01964,-0.11381,0.1155,189.8,CMEMS,2026-08-20
37.33334,-73.5,-0.03474,-0.16646,0.17,191.8,CMEMS,2026-08-20
37.33334,-73.41666,-0.03992,-0.20425,0.2081,191.1,CMEMS,2026-08-20
37.33334,-73.33333,-0.03765,-0.22776,0.2308,189.4,CMEMS,2026-08-20
37.33334,-73.25,-0.03166,-0.23655,0.2387,187.6,CMEMS,2026-08-20
37.33334,-73.16666,-0.02667,-0.22929,0.2308,186.6,CMEMS,2026-08-20
37.33334,-73.08333,-0.02211,-0.21646,0.2176,185.8,CMEMS,2026-08-20
37.33334,-73.0,-0.01628,-0.20366,0.2043,184.6,CMEMS,2026-08-20
37.33334,-72.91666,-0.00992,-0.18408,0.1843,183.1,CMEMS,2026-08-20
37.33334,-72.83333,-0.00092,-0.1452,0.1452,180.4,CMEMS,2026-08-20
37.33334,-72.75,0.00968,-0.09468,0.0952,174.2,CMEMS,2026-08-20
37.33334,-72.66666,0.01891,-0.06296,0.0657,163.3,CMEMS,2026-08-20
37.33334,-72.58333,0.02395,-0.05522,0.0602,156.5,CMEMS,2026-08-20
37.33334,-72.5,0.02667,-0.05487,0.061,154.1,CMEMS,2026-08-20
37.33334,-72.41666,0.03175,-0.05827,0.0664,151.4,CMEMS,2026-08-20
37.33334,-72.33333,0.05432,-0.07361,0.0915,143.6,CMEMS,2026-08-20
37.33334,-72.25,0.1089,-0.10417,0.1507,133.7,CMEMS,2026-08-20
37.33334,-72.16666,0.1743,-0.13191,0.2186,127.1,CMEMS,2026-08-20
37.33334,-72.08333,0.22388,-0.14564,0.2671,123.0,CMEMS,2026-08-20
37.33334,-72.0,0.25348,-0.1518,0.2955,120.9,CMEMS,2026-08-20
