lat,lon,u,v,speed_ms,dir_deg,source,date
37.33334,-76.33333,-0.00069,0.01829,0.0183,357.8,CMEMS,2026-09-01
37.33334,-76.25,0.00464,0.04142,0.0417,6.4,CMEMS,2026-09-01
37.33334,-76.16666,0.00813,0.05742,0.058,8.1,CMEMS,2026-09-01
37.33334,-76.08333,0.00144,0.08518,0.0852,1.0,CMEMS,2026-09-01
37.33334,-76.0,0.01474,0.02354,0.0278,32.1,CMEMS,2026-09-01
37.33334,-75.75,0.05337,0.08356,0.0992,32.6,CMEMS,2026-09-01
37.33334,-75.66666,0.08727,0.1247,0.1522,35.0,CMEMS,2026-09-01
37.33334,-75.58333,0.11401,0.04328,0.1219,69.2,CMEMS,2026-09-01
37.33334,-75.5,0.08418,-0.03784,0.0923,114.2,CMEMS,2026-09-01
37.33334,-75.41666,0.05935,0.04798,0.0763,51.0,CMEMS,2026-09-01
37.33334,-75.33333,0.07365,0.10477,0.1281,35.1,CMEMS,2026-09-01
37.33334,-75.25,0.08863,0.09437,0.1295,43.2,CMEMS,2026-09-01
37.33334,-75.16666,0.08895,0.07013,0.1133,51.7,CMEMS,2026-09-01
37.33334,-75.08333,0.08582,0.0492,0.0989,60.2,CMEMS,2026-09-01
37.33334,-75.0,0.08499,0.04687,0.0971,61.1,CMEMS,2026-09-01
37.33334,-74.91666,0.08505,0.03663,0.0926,66.7,CMEMS,2026-09-01
37.33334,-74.83333,0.07822,0.0013,0.0782,89.0,CMEMS,2026-09-01
37.33334,-74.75,0.06286,-0.04821,0.0792,127.5,CMEMS,2026-09-01
37.33334,-74.66666,0.04485,-0.09539,0.1054,154.8,CMEMS,2026-09-01
37.33334,-74.58333,0.0258,-0.1341,0.1366,169.1,CMEMS,2026-09-01
37.33334,-74.5,0.01489,-0.16452,0.1652,174.8,CMEMS,2026-09-01
37.33334,-74.41666,0.0059,-0.19008,0.1902,178.2,CMEMS,2026-09-01
37.33334,-74.33333,-0.00062,-0.20282,0.2028,180.2,CMEMS,2026-09-01
37.33334,-74.25,-0.00189,-0.2013,0.2013,180.5,CMEMS,2026-09-01
37.33334,-74.16666,-0.00254,-0.18838,0.1884,180.8,CMEMS,2026-09-01
37.33334,-74.08333,0.00291,-0.17159,0.1716,179.0,CMEMS,2026-09-01
37.33334,-74.0,0.00656,-0.15707,0.1572,177.6,CMEMS,2026-09-01
37.33334,-73.91666,0.0031,-0.13509,0.1351,178.7,CMEMS,2026-09-01
37.33334,-73.83333,0.00525,-0.11989,0.12,177.5,CMEMS,2026-09-01
37.33334,-73.75,0.0209,-0.12005,0.1219,170.1,CMEMS,2026-09-01
37.33334,-73.66666,0.04195,-0.13708,0.1434,163.0,CMEMS,2026-09-01
37.33334,-73.58333,0.05968,-0.15774,0.1687,159.3,CMEMS,2026-09-01
37.33334,-73.5,0.07757,-0.17258,0.1892,155.8,CMEMS,2026-09-01
37.33334,-73.41666,0.10024,-0.18193,0.2077,151.1,CMEMS,2026-09-01
37.33334,-73.33333,0.12082,-0.18061,0.2173,146.2,CMEMS,2026-09-01
37.33334,-73.25,0.13906,-0.16926,0.2191,140.6,CMEMS,2026-09-01
37.33334,-73.16666,0.161,-0.14117,0.2141,131.2,CMEMS,2026-09-01
37.33334,-73.08333,0.18304,-0.10005,0.2086,118.7,CMEMS,2026-09-01
37.33334,-73.0,0.19316,-0.06377,0.2034,108.3,CMEMS,2026-09-01
37.33334,-72.91666,0.18649,-0.04103,0.1909,102.4,CMEMS,2026-09-01
37.33334,-72.83333,0.18683,-0.01406,0.1874,94.3,CMEMS,2026-09-01
37.33334,-72.75,0.22122,0.01941,0.2221,85.0,CMEMS,2026-09-01
37.33334,-72.66666,0.29793,0.09016,0.3113,73.2,CMEMS,2026-09-01
37.33334,-72.58333,0.39932,0.18465,0.4399,65.2,CMEMS,2026-09-01
37.33334,-72.5,0.50214,0.27317,0.5716,61.5,CMEMS,2026-09-01
37.33334,-72.41666,0.59306,0.33563,0.6814,60.5,CMEMS,2026-09-01
37.33334,-72.33333,0.66922,0.36672,0.7631,61.3,CMEMS,2026-09-01
37.33334,-72.25,0.73067,0.37356,0.8206,62.9,CMEMS,2026-09-01
37.33334,-72.16666,0.78194,0.35954,0.8606,65.3,CMEMS,2026-09-01
37.33334,-72.08333,0.8223,0.32884,0.8856,68.2,CMEMS,2026-09-01
37.33334,-72.0,0.85629,0.28176,0.9015,71.8,CMEMS,2026-09-01
37.33334,-71.91666,0.8831,0.22323,0.9109,75.8,CMEMS,2026-09-01
37.33334,-71.83333,0.90791,0.15428,0.9209,80.4,CMEMS,2026-09-01
37.33334,-71.75,0.93104,0.07961,0.9344,85.1,CMEMS,2026-09-01
37.33334,-71.66666,0.95501,-0.00325,0.955,90.2,CMEMS,2026-09-01
37.33334,-71.58333,0.98832,-0.08722,0.9922,95.0,CMEMS,2026-09-01
37.33334,-71.5,1.02821,-0.17206,1.0425,99.5,CMEMS,2026-09-01
37.33334,-71.41666,1.06447,-0.26716,1.0975,104.1,CMEMS,2026-09-01
37.33334,-71.33333,1.0843,-0.34986,1.1393,107.9,CMEMS,2026-09-01
37.33334,-71.25,1.08226,-0.40901,1.157,110.7,CMEMS,2026-09-01
37.33334,-71.16666,1.06343,-0.43727,1.1498,112.4,CMEMS,2026-09-01
37.33334,-71.08333,1.0388,-0.41753,1.1196,111.9,CMEMS,2026-09-01
37.33334,-71.0,1.00947,-0.35572,1.0703,109.4,CMEMS,2026-09-01
37.33334,-70.91666,0.98013,-0.24788,1.011,104.2,CMEMS,2026-09-01
37.33334,-70.83333,0.96771,-0.09439,0.9723,95.6,CMEMS,2026-09-01
37.33334,-70.75,0.98518,0.09342,0.9896,84.6,CMEMS,2026-09-01
37.33334,-70.66666,1.03825,0.31673,1.0855,73.0,CMEMS,2026-09-01
37.33334,-70.58333,1.12192,0.55677,1.2525,63.6,CMEMS,2026-09-01
37.33334,-70.5,1.21069,0.78045,1.4404,57.2,CMEMS,2026-09-01
37.33334,-70.41666,1.2752,0.98031,1.6085,52.4,CMEMS,2026-09-01
37.33334,-70.33333,1.29757,1.12049,1.7144,49.2,CMEMS,2026-09-01
37.33334,-70.25,1.27949,1.18922,1.7468,47.1,CMEMS,2026-09-01
37.33334,-70.16666,1.22968,1.19077,1.7117,45.9,CMEMS,2026-09-01
37.33334,-70.08333,1.15573,1.13576,1.6204,45.5,CMEMS,2026-09-01
37.33334,-70.0,1.06477,1.03978,1.4882,45.7,CMEMS,2026-09-01
37.33334,-69.91666,0.95965,0.92138,1.3304,46.2,CMEMS,2026-09-01
37.33334,-69.83333,0.8423,0.7867,1.1525,47.0,CMEMS,2026-09-01
37.33334,-69.75,0.71683,0.63411,0.9571,48.5,CMEMS,2026-09-01
37.33334,-69.66666,0.58716,0.46536,0.7492,51.6,CMEMS,2026-09-01
37.33334,-69.58333,0.46069,0.29577,0.5475,57.3,CMEMS,2026-09-01
37.33334,-69.5,0.35218,0.15118,0.3833,66.8,CMEMS,2026-09-01
37.33334,-69.41666,0.2756,0.05091,0.2803,79.5,CMEMS,2026-09-01
37.33334,-69.33333,0.23589,-0.00491,0.2359,91.2,CMEMS,2026-09-01
37.33334,-69.25,0.2242,-0.02508,0.2256,96.4,CMEMS,2026-09-01
37.33334,-69.16666,0.22043,-0.01039,0.2207,92.7,CMEMS,2026-09-01
37.33334,-69.08333,0.20663,0.04823,0.2122,76.9,CMEMS,2026-09-01
37.33334,-69.0,0.18225,0.14185,0.2309,52.1,CMEMS,2026-09-01
37.41667,-76.16666,0.01492,0.04984,0.052,16.7,CMEMS,2026-09-01
37.41667,-76.08333,0.0157,0.08933,0.0907,10.0,CMEMS,2026-09-01
37.41667,-76.0,0.00762,0.01467,0.0165,27.4,CMEMS,2026-09-01
37.41667,-75.75,0.04088,0.06178,0.0741,33.5,CMEMS,2026-09-01
37.41667,-75.66666,0.06381,0.08081,0.103,38.3,CMEMS,2026-09-01
37.41667,-75.58333,0.10415,0.09076,0.1381,48.9,CMEMS,2026-09-01
37.41667,-75.5,0.08623,0.00392,0.0863,87.4,CMEMS,2026-09-01
37.41667,-75.41666,0.06193,0.02583,0.0671,67.4,CMEMS,2026-09-01
37.41667,-75.33333,0.07371,0.07492,0.1051,44.5,CMEMS,2026-09-01
37.41667,-75.25,0.08903,0.08572,0.1236,46.1,CMEMS,2026-09-01
37.41667,-75.16666,0.09632,0.07164,0.12,53.4,CMEMS,2026-09-01
37.41667,-75.08333,0.09056,0.04761,0.1023,62.3,CMEMS,2026-09-01
37.41667,-75.0,0.08078,0.0451,0.0925,60.8,CMEMS,2026-09-01
37.41667,-74.91666,0.07633,0.04257,0.0874,60.9,CMEMS,2026-09-01
37.41667,-74.83333,0.0726,0.01326,0.0738,79.7,CMEMS,2026-09-01
37.41667,-74.75,0.06128,-0.02948,0.068,115.7,CMEMS,2026-09-01
37.41667,-74.66666,0.04225,-0.07359,0.0849,150.1,CMEMS,2026-09-01
37.41667,-74.58333,0.02201,-0.11703,0.1191,169.3,CMEMS,2026-09-01
37.41667,-74.5,0.00534,-0.15483,0.1549,178.0,CMEMS,2026-09-01
37.41667,-74.41666,-0.00839,-0.18695,0.1871,182.6,CMEMS,2026-09-01
37.41667,-74.33333,-0.01593,-0.20022,0.2008,184.5,CMEMS,2026-09-01
37.41667,-74.25,-0.02525,-0.19584,0.1975,187.3,CMEMS,2026-09-01
37.41667,-74.16666,-0.03572,-0.18783,0.1912,190.8,CMEMS,2026-09-01
37.41667,-74.08333,-0.03571,-0.18,0.1835,191.2,CMEMS,2026-09-01
37.41667,-74.0,-0.02795,-0.17101,0.1733,189.3,CMEMS,2026-09-01
37.41667,-73.91666,-0.01489,-0.15844,0.1591,185.4,CMEMS,2026-09-01
37.41667,-73.83333,0.00682,-0.14587,0.146,177.3,CMEMS,2026-09-01
37.41667,-73.75,0.03252,-0.14936,0.1529,167.7,CMEMS,2026-09-01
37.41667,-73.66666,0.05541,-0.17039,0.1792,162.0,CMEMS,2026-09-01
37.41667,-73.58333,0.07426,-0.19238,0.2062,158.9,CMEMS,2026-09-01
37.41667,-73.5,0.09583,-0.20888,0.2298,155.4,CMEMS,2026-09-01
37.41667,-73.41666,0.11925,-0.21705,0.2477,151.2,CMEMS,2026-09-01
37.41667,-73.33333,0.13822,-0.21363,0.2544,147.1,CMEMS,2026-09-01
37.41667,-73.25,0.15669,-0.20792,0.2603,143.0,CMEMS,2026-09-01
37.41667,-73.16666,0.17893,-0.18514,0.2575,136.0,CMEMS,2026-09-01
37.41667,-73.08333,0.20713,-0.14188,0.2511,124.4,CMEMS,2026-09-01
37.41667,-73.0,0.2395,-0.09239,0.2567,111.1,CMEMS,2026-09-01
37.41667,-72.91666,0.26295,-0.03709,0.2656,98.0,CMEMS,2026-09-01
37.41667,-72.83333,0.26012,0.01669,0.2607,86.3,CMEMS,2026-09-01
37.41667,-72.75,0.23377,0.04074,0.2373,80.1,CMEMS,2026-09-01
37.41667,-72.66666,0.2233,0.03911,0.2267,80.1,CMEMS,2026-09-01
37.41667,-72.58333,0.25809,0.06239,0.2655,76.4,CMEMS,2026-09-01
37.41667,-72.5,0.33006,0.14283,0.3596,66.6,CMEMS,2026-09-01
37.41667,-72.41666,0.4112,0.22755,0.47,61.0,CMEMS,2026-09-01
37.41667,-72.33333,0.4859,0.28247,0.562,59.8,CMEMS,2026-09-01
37.41667,-72.25,0.54792,0.30294,0.6261,61.1,CMEMS,2026-09-01
37.41667,-72.16666,0.59994,0.30116,0.6713,63.3,CMEMS,2026-09-01
37.41667,-72.08333,0.64363,0.28196,0.7027,66.3,CMEMS,2026-09-01
37.41667,-72.0,0.68137,0.24784,0.725,70.0,CMEMS,2026-09-01
37.41667,-71.91666,0.71512,0.19677,0.7417,74.6,CMEMS,2026-09-01
37.41667,-71.83333,0.74622,0.13159,0.7577,80.0,CMEMS,2026-09-01
37.41667,-71.75,0.77474,0.05405,0.7766,86.0,CMEMS,2026-09-01
37.41667,-71.66666,0.81011,-0.0356,0.8109,92.5,CMEMS,2026-09-01
37.41667,-71.58333,0.84984,-0.1344,0.8604,99.0,CMEMS,2026-09-01
37.41667,-71.5,0.88464,-0.23699,0.9158,105.0,CMEMS,2026-09-01
37.41667,-71.41666,0.88552,-0.34381,0.9499,111.2,CMEMS,2026-09-01
37.41667,-71.33333,0.83597,-0.43055,0.9403,117.2,CMEMS,2026-09-01
37.41667,-71.25,0.78564,-0.46403,0.9124,120.6,CMEMS,2026-09-01
37.41667,-71.16666,0.75005,-0.45116,0.8753,121.0,CMEMS,2026-09-01
37.41667,-71.08333,0.69873,-0.39685,0.8036,119.6,CMEMS,2026-09-01
37.41667,-71.0,0.62268,-0.30904,0.6952,116.4,CMEMS,2026-09-01
37.41667,-70.91666,0.54352,-0.20921,0.5824,111.1,CMEMS,2026-09-01
37.41667,-70.83333,0.4727,-0.08276,0.4799,99.9,CMEMS,2026-09-01
37.41667,-70.75,0.44997,0.05655,0.4535,82.8,CMEMS,2026-09-01
37.41667,-70.66666,0.50065,0.22307,0.5481,66.0,CMEMS,2026-09-01
37.41667,-70.58333,0.61418,0.44364,0.7576,54.2,CMEMS,2026-09-01
37.41667,-70.5,0.7631,0.68306,1.0242,48.2,CMEMS,2026-09-01
37.41667,-70.41666,0.91451,0.90228,1.2847,45.4,CMEMS,2026-09-01
37.41667,-70.33333,1.03796,1.08807,1.5037,43.6,CMEMS,2026-09-01
37.41667,-70.25,1.11761,1.22217,1.6561,42.4,CMEMS,2026-09-01
37.41667,-70.16666,1.1524,1.27506,1.7187,42.1,CMEMS,2026-09-01
37.41667,-70.08333,1.14114,1.25587,1.6969,42.3,CMEMS,2026-09-01
37.41667,-70.0,1.09528,1.17738,1.6081,42.9,CMEMS,2026-09-01
37.41667,-69.91666,1.03064,1.05773,1.4768,44.3,CMEMS,2026-09-01
37.41667,-69.83333,0.94889,0.91989,1.3216,45.9,CMEMS,2026-09-01
37.41667,-69.75,0.84844,0.77096,1.1464,47.7,CMEMS,2026-09-01
37.41667,-69.66666,0.73105,0.60921,0.9516,50.2,CMEMS,2026-09-01
37.41667,-69.58333,0.6057,0.43802,0.7475,54.1,CMEMS,2026-09-01
37.41667,-69.5,0.48701,0.27357,0.5586,60.7,CMEMS,2026-09-01
37.41667,-69.41666,0.38709,0.13679,0.4106,70.5,CMEMS,2026-09-01
37.41667,-69.33333,0.31222,0.04163,0.315,82.4,CMEMS,2026-09-01
37.41667,-69.25,0.26586,-0.00653,0.2659,91.4,CMEMS,2026-09-01
