lat,lon,u,v,speed_ms,dir_deg,source,date
26.08334,-78.83333,0.13139,-0.07501,0.1513,119.7,CMEMS,2026-09-18
26.08334,-78.75,0.12547,-0.07554,0.1465,121.0,CMEMS,2026-09-18
26.08334,-78.66666,0.10346,-0.04993,0.1149,115.8,CMEMS,2026-09-18
26.08334,-78.58333,0.096,-0.006,0.0962,93.6,CMEMS,2026-09-18
26.08334,-78.5,0.09997,0.05641,0.1148,60.6,CMEMS,2026-09-18
26.08334,-78.41666,0.10198,0.14709,0.179,34.7,CMEMS,2026-09-18
26.08334,-78.33333,0.08791,0.22765,0.244,21.1,CMEMS,2026-09-18
26.08334,-78.25,0.04287,0.24495,0.2487,9.9,CMEMS,2026-09-18
26.08334,-78.16666,-0.02241,0.18198,0.1834,353.0,CMEMS,2026-09-18
26.08334,-78.08333,-0.08125,0.1217,0.1463,326.3,CMEMS,2026-09-18
26.08334,-78.0,-0.1108,0.10954,0.1558,314.7,CMEMS,2026-09-18
26.08334,-77.91666,-0.10883,0.04135,0.1164,290.8,CMEMS,2026-09-18
26.08334,-77.83333,-0.09059,-0.07024,0.1146,232.2,CMEMS,2026-09-18
26.08334,-77.75,-0.0743,-0.07825,0.1079,223.5,CMEMS,2026-09-18
26.08334,-77.66666,-0.05751,0.03145,0.0655,298.7,CMEMS,2026-09-18
26.08334,-77.58333,-0.01738,0.09818,0.0997,350.0,CMEMS,2026-09-18
26.08334,-77.5,-0.00155,0.03218,0.0322,357.2,CMEMS,2026-09-18
26.08334,-77.41666,-0.01674,0.03697,0.0406,335.6,CMEMS,2026-09-18
26.08334,-77.33333,-0.03562,0.02314,0.0425,303.0,CMEMS,2026-09-18
26.08334,-77.08333,-0.06982,-0.01335,0.0711,259.2,CMEMS,2026-09-18
26.08334,-77.0,-0.09528,-0.04196,0.1041,246.2,CMEMS,2026-09-18
26.08334,-76.91666,-0.11,0.01512,0.111,277.8,CMEMS,2026-09-18
26.08334,-76.83333,-0.12358,0.03421,0.1282,285.5,CMEMS,2026-09-18
26.08334,-76.75,-0.14071,0.0523,0.1501,290.4,CMEMS,2026-09-18
26.08334,-76.66666,-0.1529,0.05984,0.1642,291.4,CMEMS,2026-09-18
26.08334,-76.58333,-0.16262,0.06139,0.1738,290.7,CMEMS,2026-09-18
26.08334,-76.5,-0.17184,0.05636,0.1808,288.2,CMEMS,2026-09-18
26.08334,-76.41666,-0.17721,0.04586,0.183,284.5,CMEMS,2026-09-18
26.08334,-76.33333,-0.17773,0.03022,0.1803,279.7,CMEMS,2026-09-18
26.08334,-76.25,-0.17495,0.01314,0.1754,274.3,CMEMS,2026-09-18
26.08334,-76.16666,-0.17098,-0.00401,0.171,268.7,CMEMS,2026-09-18
26.16667,-81.91666,-0.02574,0.0114,0.0281,293.9,CMEMS,2026-09-18
26.16667,-81.83333,-0.02563,0.02024,0.0327,308.3,CMEMS,2026-09-18
26.16667,-80.08333,-0.04291,0.11206,0.12,339.0,CMEMS,2026-09-18
26.16667,-80.0,-0.05202,0.67368,0.6757,355.6,CMEMS,2026-09-18
26.16667,-79.91666,-0.03108,1.13767,1.1381,358.4,CMEMS,2026-09-18
26.16667,-79.83333,-0.00042,1.34624,1.3462,360.0,CMEMS,2026-09-18
26.16667,-79.75,0.01749,1.39222,1.3923,0.7,CMEMS,2026-09-18
26.16667,-79.66666,0.03322,1.31448,1.3149,1.4,CMEMS,2026-09-18
26.16667,-79.58333,0.03901,1.14841,1.1491,1.9,CMEMS,2026-09-18
26.16667,-79.5,0.02751,0.91046,0.9109,1.7,CMEMS,2026-09-18
26.16667,-79.41666,0.02339,0.63855,0.639,2.1,CMEMS,2026-09-18
26.16667,-79.33333,0.02617,0.40043,0.4013,3.7,CMEMS,2026-09-18
26.16667,-79.25,0.03476,0.10489,0.1105,18.3,CMEMS,2026-09-18
26.16667,-79.16666,0.03629,0.01068,0.0378,73.6,CMEMS,2026-09-18
26.16667,-79.08333,0.04952,-0.03275,0.0594,123.5,CMEMS,2026-09-18
26.16667,-79.0,0.0856,-0.07909,0.1165,132.7,CMEMS,2026-09-18
26.16667,-78.91666,0.06653,-0.07483,0.1001,138.4,CMEMS,2026-09-18
26.16667,-78.83333,-0.01746,-0.06541,0.0677,194.9,CMEMS,2026-09-18
26.16667,-78.75,-0.06044,-0.06973,0.0923,220.9,CMEMS,2026-09-18
26.16667,-78.66666,-0.0405,-0.06084,0.0731,213.7,CMEMS,2026-09-18
26.16667,-78.58333,-0.0166,-0.02181,0.0274,217.3,CMEMS,2026-09-18
26.16667,-78.5,-0.0066,0.03993,0.0405,350.6,CMEMS,2026-09-18
26.16667,-78.41666,-0.00568,0.13552,0.1356,357.6,CMEMS,2026-09-18
26.16667,-78.33333,-0.00231,0.23827,0.2383,359.4,CMEMS,2026-09-18
26.16667,-78.25,-0.0104,0.29396,0.2941,358.0,CMEMS,2026-09-18
26.16667,-78.16666,-0.03553,0.25765,0.2601,352.1,CMEMS,2026-09-18
26.16667,-78.08333,-0.06481,0.17295,0.1847,339.5,CMEMS,2026-09-18
26.16667,-78.0,-0.07922,0.10791,0.1339,323.7,CMEMS,2026-09-18
