lat,lon,u,v,speed_ms,dir_deg,source,date
33.75,-78.83333,-0.01686,-0.0204,0.0265,219.6,CMEMS,2026-09-22
33.75,-78.75,-0.02389,-0.0195,0.0308,230.8,CMEMS,2026-09-22
33.75,-78.66666,-0.02972,-0.01787,0.0347,239.0,CMEMS,2026-09-22
33.75,-78.58333,-0.03955,-0.01582,0.0426,248.2,CMEMS,2026-09-22
33.75,-78.5,-0.04846,-0.01228,0.05,255.8,CMEMS,2026-09-22
33.75,-78.41666,-0.04761,-0.01083,0.0488,257.2,CMEMS,2026-09-22
33.75,-78.33333,-0.04642,-0.00799,0.0471,260.2,CMEMS,2026-09-22
33.75,-78.25,-0.04678,-0.00784,0.0474,260.5,CMEMS,2026-09-22
33.75,-78.16666,-0.04441,-0.01067,0.0457,256.5,CMEMS,2026-09-22
33.75,-78.08333,-0.04025,-0.01559,0.0432,248.8,CMEMS,2026-09-22
33.75,-78.0,-0.04831,-0.02314,0.0536,244.4,CMEMS,2026-09-22
33.75,-77.91666,-0.03915,-0.03176,0.0504,231.0,CMEMS,2026-09-22
33.75,-77.83333,-0.01756,-0.032,0.0365,208.7,CMEMS,2026-09-22
33.75,-77.75,-0.02785,-0.02114,0.035,232.8,CMEMS,2026-09-22
33.75,-77.66666,-0.04534,0.00195,0.0454,272.5,CMEMS,2026-09-22
33.75,-77.58333,-0.04773,0.0264,0.0545,299.0,CMEMS,2026-09-22
33.75,-77.5,-0.04568,0.05019,0.0679,317.7,CMEMS,2026-09-22
33.75,-77.41666,-0.02371,0.08519,0.0884,344.4,CMEMS,2026-09-22
33.75,-77.33333,0.01326,0.1109,0.1117,6.8,CMEMS,2026-09-22
33.75,-77.25,0.0249,0.12078,0.1233,11.7,CMEMS,2026-09-22
33.75,-77.16666,0.03831,0.1244,0.1302,17.1,CMEMS,2026-09-22
33.75,-77.08333,0.03093,0.12565,0.1294,13.8,CMEMS,2026-09-22
33.75,-77.0,0.03219,0.11674,0.1211,15.4,CMEMS,2026-09-22
33.75,-76.91666,0.01137,0.0958,0.0965,6.8,CMEMS,2026-09-22
33.75,-76.83333,-0.01433,0.07575,0.0771,349.3,CMEMS,2026-09-22
33.75,-76.75,-0.01853,0.0942,0.096,348.9,CMEMS,2026-09-22
33.75,-76.66666,0.0271,0.1887,0.1906,8.2,CMEMS,2026-09-22
33.75,-76.58333,0.13409,0.36764,0.3913,20.0,CMEMS,2026-09-22
33.75,-76.5,0.27212,0.61046,0.6684,24.0,CMEMS,2026-09-22
33.75,-76.41666,0.42275,0.86278,0.9608,26.1,CMEMS,2026-09-22
33.75,-76.33333,0.56778,1.06617,1.2079,28.0,CMEMS,2026-09-22
33.75,-76.25,0.67778,1.19429,1.3732,29.6,CMEMS,2026-09-22
33.75,-76.16666,0.7423,1.23043,1.437,31.1,CMEMS,2026-09-22
