lat,lon,u,v,speed_ms,dir_deg,source,date
29.83334,-81.25,-0.02627,0.04257,0.05,328.3,CMEMS,2026-07-04
29.83334,-81.16666,-0.02667,0.05316,0.0595,333.4,CMEMS,2026-07-04
29.83334,-81.08333,-0.02453,0.05551,0.0607,336.2,CMEMS,2026-07-04
29.83334,-81.0,-0.01854,0.04317,0.047,336.8,CMEMS,2026-07-04
29.83334,-80.91666,-0.01324,0.03104,0.0337,336.9,CMEMS,2026-07-04
29.83334,-80.83333,-0.01116,0.02392,0.0264,335.0,CMEMS,2026-07-04
29.83334,-80.75,-0.00825,0.01971,0.0214,337.3,CMEMS,2026-07-04
29.83334,-80.66666,-0.01688,0.0288,0.0334,329.6,CMEMS,2026-07-04
29.83334,-80.58333,-0.03399,0.01596,0.0376,295.2,CMEMS,2026-07-04
29.83334,-80.5,-0.03903,-0.04028,0.0561,224.1,CMEMS,2026-07-04
29.83334,-80.41666,-0.02625,-0.04355,0.0509,211.1,CMEMS,2026-07-04
29.83334,-80.33333,0.01647,0.28786,0.2883,3.3,CMEMS,2026-07-04
29.83334,-80.25,0.02951,0.9925,0.9929,1.7,CMEMS,2026-07-04
29.83334,-80.16666,0.06499,1.52025,1.5216,2.4,CMEMS,2026-07-04
29.83334,-80.08333,-0.00599,1.77385,1.7739,359.8,CMEMS,2026-07-04
29.83334,-80.0,-0.00451,1.83184,1.8318,359.9,CMEMS,2026-07-04
29.83334,-79.91666,0.05983,1.69629,1.6973,2.0,CMEMS,2026-07-04
29.83334,-79.83333,0.07855,1.51771,1.5197,3.0,CMEMS,2026-07-04
29.83334,-79.75,0.07092,1.25715,1.2591,3.2,CMEMS,2026-07-04
29.83334,-79.66666,0.06929,0.92036,0.923,4.3,CMEMS,2026-07-04
29.83334,-79.58333,0.06015,0.62754,0.6304,5.5,CMEMS,2026-07-04
29.83334,-79.5,0.05107,0.39073,0.3941,7.4,CMEMS,2026-07-04
29.83334,-79.41666,0.06517,0.0626,0.0904,46.2,CMEMS,2026-07-04
29.83334,-79.33333,0.04999,-0.23113,0.2365,167.8,CMEMS,2026-07-04
29.83334,-79.25,-0.0478,-0.05268,0.0711,222.2,CMEMS,2026-07-04
29.83334,-79.16666,-0.18285,0.20236,0.2727,317.9,CMEMS,2026-07-04
29.83334,-79.08333,-0.32397,0.31868,0.4544,314.5,CMEMS,2026-07-04
29.83334,-79.0,-0.46654,0.37577,0.5991,308.8,CMEMS,2026-07-04
29.83334,-78.91666,-0.58711,0.38287,0.7009,303.1,CMEMS,2026-07-04
