lat,lon,sst
26.95,-82.53,30.19
26.87,-82.85,30.36
26.85,-82.91,30.13
26.83,-83.15,29.76
26.81,-83.15,29.84
26.81,-83.07,29.84
26.81,-82.09,30.05
26.79,-83.15,29.91
26.79,-83.13,29.97
26.79,-83.07,29.82
26.79,-83.05,29.82
26.77,-83.15,29.89
26.77,-83.13,29.99
25.77,-83.11,29.96
25.75,-83.11,29.98
25.75,-83.09,29.96
25.73,-83.13,29.97
25.73,-83.11,29.97
25.73,-83.09,29.96
23.67,-83.09,29.63
23.65,-83.05,29.48
23.65,-83.03,29.44
23.65,-83.01,29.4
23.65,-82.99,29.42
23.65,-82.97,29.45
23.63,-83.11,29.55
23.63,-83.07,29.51
23.63,-83.05,29.52
23.63,-82.97,29.51
23.63,-82.95,29.49
23.63,-82.93,29.56
23.63,-82.91,29.54
23.61,-83.13,29.54
23.61,-83.11,29.52
23.61,-83.07,29.51
23.61,-82.99,29.43
23.61,-82.97,29.48
23.61,-82.95,29.48
23.61,-82.93,29.51
23.61,-82.91,29.51
23.59,-83.15,29.61
23.59,-83.03,29.39
23.59,-83.01,29.42
23.59,-82.97,29.41
23.59,-82.79,29.51
23.59,-82.77,29.53
23.59,-82.75,29.54
23.57,-83.15,29.58
23.57,-83.13,29.47
23.57,-83.11,29.47
23.57,-83.09,29.32
23.57,-83.07,29.31
23.57,-83.05,29.32
23.57,-83.03,29.35
23.57,-83.01,29.35
23.57,-82.99,29.39
23.57,-82.97,29.39
23.57,-82.95,29.39
23.57,-82.81,29.58
23.57,-82.79,29.58
23.57,-82.77,29.55
23.57,-82.75,29.54
23.55,-83.15,29.45
23.55,-83.13,29.41
23.55,-83.11,29.43
23.55,-83.09,29.33
23.55,-83.07,29.31
23.55,-83.05,29.39
23.55,-83.03,29.49
23.55,-83.01,29.47
23.55,-82.99,29.41
23.55,-82.97,29.39
23.55,-82.95,29.38
23.55,-82.91,29.43
23.55,-82.89,29.41
23.55,-82.85,29.44
23.55,-82.83,29.47
23.55,-82.81,29.57
23.55,-82.79,29.64
23.55,-82.77,29.65
23.55,-82.75,29.54
23.53,-83.15,29.48
23.53,-83.13,29.51
23.53,-83.11,29.54
23.53,-83.09,29.52
23.53,-83.07,29.4
23.53,-83.05,29.53
23.53,-83.03,29.52
23.53,-83.01,29.53
23.53,-82.99,29.48
23.53,-82.97,29.34
23.53,-82.95,29.25
23.53,-82.93,29.23
23.53,-82.91,29.41
23.53,-82.89,29.43
23.53,-82.87,29.38
23.53,-82.85,29.35
23.53,-82.83,29.42
23.53,-82.81,29.48
23.53,-82.79,29.59
23.53,-82.77,29.63
23.51,-83.15,29.59
23.51,-83.13,29.55
23.51,-83.11,29.55
23.51,-83.09,29.58
23.51,-83.07,29.62
23.51,-83.05,29.54
23.51,-83.03,29.46
23.51,-83.01,29.47
23.51,-82.99,29.44
23.51,-82.97,29.42
23.51,-82.95,29.33
23.51,-82.93,29.35
23.51,-82.91,29.37
23.51,-82.89,29.44
23.51,-82.87,29.31
23.51,-82.85,29.35
23.51,-82.83,29.42
23.51,-82.81,29.49
23.51,-82.79,29.51
23.51,-82.77,29.59
23.49,-83.15,29.52
23.49,-83.13,29.46
23.49,-83.11,29.41
23.49,-83.07,29.62
23.49,-83.05,29.51
23.49,-83.03,29.45
23.49,-83.01,29.55
23.49,-82.99,29.45
23.49,-82.97,29.49
23.49,-82.95,29.44
23.49,-82.93,29.43
23.49,-82.91,29.4
23.49,-82.89,29.39
23.49,-82.87,29.43
23.49,-82.85,29.45
23.49,-82.83,29.51
23.49,-82.81,29.53
23.49,-82.79,29.52
23.49,-82.77,29.58
23.47,-83.15,29.56
23.47,-83.13,29.48
23.47,-83.11,29.48
23.47,-83.09,29.52
23.47,-83.07,29.65
23.47,-83.05,29.53
23.47,-83.03,29.51
23.47,-83.01,29.5
23.47,-82.99,29.52
23.47,-82.97,29.54
23.47,-82.95,29.52
23.47,-82.93,29.6
23.47,-82.91,29.5
23.47,-82.89,29.49
23.47,-82.87,29.47
23.47,-82.85,29.55
23.47,-82.83,29.59
23.47,-82.81,29.59
23.47,-82.79,29.56
23.45,-83.15,29.56
23.45,-83.13,29.54
23.45,-83.11,29.59
23.45,-83.09,29.6
23.45,-83.07,29.64
23.45,-83.05,29.61
23.45,-83.03,29.61
23.45,-83.01,29.58
23.45,-82.99,29.58
23.45,-82.97,29.55
23.45,-82.95,29.58
23.45,-82.93,29.62
23.45,-82.91,29.61
23.45,-82.89,29.63
23.45,-82.87,29.55
23.45,-82.85,29.6
23.45,-82.83,29.64
23.45,-82.81,29.65
23.45,-82.79,29.57
23.43,-83.15,29.6
23.43,-83.13,29.61
23.43,-83.11,29.59
23.43,-83.09,29.57
23.43,-83.07,29.66
23.43,-83.05,29.65
23.43,-83.03,29.68
23.43,-83.01,29.66
23.43,-82.99,29.67
23.43,-82.97,29.71
23.43,-82.95,29.71
23.43,-82.93,29.67
23.43,-82.91,29.65
23.43,-82.89,29.72
23.43,-82.87,29.72
23.43,-82.85,29.75
23.43,-82.83,29.69
23.43,-82.81,29.63
23.43,-82.79,29.58
23.41,-83.15,29.58
23.41,-83.13,29.64
23.41,-83.11,29.57
23.41,-83.09,29.56
23.41,-83.07,29.6
23.41,-83.05,29.6
23.41,-83.03,29.61
23.41,-83.01,29.63
23.41,-82.99,29.63
23.41,-82.97,29.71
23.41,-82.95,29.71
23.41,-82.93,29.73
23.41,-82.91,29.67
23.41,-82.89,29.7
23.41,-82.87,29.77
23.41,-82.85,29.71
23.41,-82.83,29.65
23.41,-82.81,29.71
23.39,-83.15,29.57
23.39,-83.13,29.58
23.39,-83.11,29.52
23.39,-83.09,29.53
23.39,-83.07,29.54
23.39,-83.05,29.53
23.39,-83.03,29.56
23.39,-83.01,29.55
23.39,-82.99,29.58
23.39,-82.97,29.74
23.39,-82.95,29.71
23.39,-82.93,29.79
23.39,-82.91,29.69
23.39,-82.89,29.67
23.39,-82.87,29.67
23.39,-82.85,29.64
23.39,-82.83,29.62
23.39,-82.81,29.73
23.37,-83.15,29.59
23.37,-83.13,29.61
23.37,-83.11,29.56
23.37,-83.09,29.49
23.37,-83.07,29.53
23.37,-83.05,29.57
23.37,-83.03,29.61
23.37,-83.01,29.62
23.37,-82.99,29.66
23.37,-82.97,29.72
23.37,-82.95,29.68
23.37,-82.93,29.7
23.37,-82.91,29.7
23.37,-82.89,29.71
23.37,-82.87,29.7
23.37,-82.85,29.68
23.37,-82.83,29.66
23.35,-83.15,29.56
23.35,-83.13,29.57
23.35,-83.11,29.56
23.35,-83.09,29.53
23.35,-83.07,29.54
23.35,-83.05,29.58
23.35,-83.03,29.61
23.35,-83.01,29.61
23.35,-82.99,29.61
23.35,-82.97,29.66
23.35,-82.95,29.64
23.35,-82.93,29.62
23.35,-82.91,29.59
23.35,-82.89,29.67
23.35,-82.87,29.71
23.35,-82.85,29.72
23.35,-82.83,29.68
23.33,-83.15,29.57
23.33,-83.13,29.62
23.33,-83.11,29.5
23.33,-83.09,29.54
23.33,-83.07,29.54
23.33,-83.05,29.5
23.33,-83.03,29.58
23.33,-83.01,29.6
23.33,-82.99,29.58
23.33,-82.97,29.59
23.33,-82.95,29.63
23.33,-82.93,29.57
23.33,-82.91,29.58
