lat,lon,sst
37.59,-75.05,13.43
37.57,-76.15,18.21
37.57,-76.13,18.41
37.57,-76.11,18.53
37.57,-76.09,18.6
37.57,-76.07,18.67
37.57,-76.05,18.67
37.57,-75.57,14.27
37.57,-75.05,13.43
37.57,-74.39,13.33
37.55,-76.25,16.9
37.55,-76.23,17.15
37.55,-76.21,17.78
37.55,-76.19,17.82
37.55,-76.17,17.8
37.55,-76.13,18.01
37.55,-76.11,17.87
37.55,-76.09,18.22
37.55,-76.07,18.23
37.55,-76.05,18.23
37.55,-75.57,14.27
37.55,-75.27,14.16
37.55,-74.41,13.3
37.55,-74.39,13.27
37.53,-76.25,16.57
37.53,-76.23,17.18
37.53,-76.21,17.79
37.53,-76.19,17.83
37.53,-76.17,17.82
37.53,-76.13,17.88
37.53,-76.11,17.84
37.53,-76.09,18.22
37.53,-76.07,18.21
37.53,-76.05,18.08
37.53,-75.57,14.26
37.53,-75.35,14.23
37.53,-75.33,14.24
37.53,-74.41,13.67
37.51,-76.25,16.52
37.51,-76.23,16.9
37.51,-76.21,17.87
37.51,-76.19,18.2
37.51,-76.17,17.88
37.51,-76.15,17.89
37.51,-76.13,17.88
37.51,-76.11,17.85
37.51,-76.09,17.77
37.51,-76.07,18.03
37.51,-76.05,17.78
37.51,-76.03,17.76
37.51,-75.57,14.24
37.51,-75.43,14.35
37.51,-75.41,14.43
37.51,-75.37,13.46
37.51,-75.35,13.65
37.51,-75.33,13.82
37.51,-75.23,13.65
37.51,-75.21,13.68
37.51,-74.45,13.6
37.49,-76.77,22.13
37.49,-76.75,22.13
37.49,-76.25,16.89
37.49,-76.23,17.09
37.49,-76.21,18.24
37.49,-76.19,18.77
37.49,-76.17,18.12
37.49,-76.15,17.8
37.49,-76.13,17.9
37.49,-76.11,17.98
37.49,-76.09,18.07
37.49,-76.07,18.29
37.49,-76.05,17.77
37.49,-75.43,13.93
37.49,-75.41,13.99
37.49,-75.37,13.46
37.49,-75.35,13.49
37.49,-75.33,13.5
37.49,-75.27,13.39
37.49,-75.25,13.41
37.47,-76.75,22.15
37.47,-76.73,22.15
37.47,-76.25,17.41
37.47,-76.23,17.73
37.47,-76.21,18.25
37.47,-76.19,18.53
37.47,-76.17,18.42
37.47,-76.15,17.95
37.47,-76.13,18.06
37.47,-76.11,18.36
37.47,-76.09,18.36
37.47,-76.07,18.1
37.47,-76.05,16.54
37.47,-75.43,13.89
37.47,-75.35,13.52
37.47,-75.33,13.46
37.47,-75.31,13.75
37.47,-75.29,13.72
37.47,-75.27,13.6
37.47,-75.25,13.53
37.45,-76.73,22.09
37.45,-76.25,17.7
37.45,-76.23,18.08
37.45,-76.21,18.53
37.45,-76.19,18.52
37.45,-76.17,18.47
37.45,-76.15,18.39
37.45,-76.13,17.99
37.45,-76.11,18.28
37.45,-76.09,18.19
37.45,-76.07,16.49
37.45,-76.05,16.54
37.45,-75.51,14.5
37.45,-75.49,14.69
37.45,-75.33,13.42
37.45,-75.31,13.38
37.45,-75.29,13.74
37.43,-76.71,22.1
37.43,-76.45,20.38
37.43,-76.41,20.38
37.43,-76.25,18.53
37.43,-76.23,18.41
37.43,-76.21,18.38
37.43,-76.19,18.04
37.43,-76.17,18.28
37.43,-76.15,18.3
37.43,-76.13,18.29
37.43,-76.11,17.97
37.43,-76.09,17.6
37.43,-76.07,16.56
37.43,-75.53,14.38
37.43,-75.51,14.28
37.43,-75.49,14.63
37.43,-75.45,14.57
37.43,-75.35,13.45
37.41,-76.67,22.15
37.41,-76.23,18.01
37.41,-76.21,17.66
37.41,-76.19,17.61
37.41,-76.17,18.01
37.41,-76.15,18.31
37.41,-76.13,18.32
37.41,-76.11,17.54
37.41,-76.09,16.67
37.41,-75.53,14.3
37.41,-75.51,14.68
37.41,-75.49,14.67
37.41,-75.47,14.69
37.39,-76.67,22.07
37.39,-76.65,22.04
37.39,-76.23,16.64
37.39,-76.21,16.42
37.39,-76.19,16.48
37.39,-76.15,17.37
37.39,-76.13,17.53
37.39,-76.11,16.58
37.39,-76.09,16.47
37.37,-76.65,21.37
37.37,-76.63,21.35
37.37,-76.39,19.19
37.37,-76.37,19.01
37.37,-76.35,19.1
37.37,-76.13,16.71
37.37,-76.11,16.62
37.37,-76.09,16.48
37.37,-76.05,15.82
37.35,-76.65,21.34
37.35,-76.63,21.23
37.35,-76.41,18.16
37.35,-76.39,18.44
37.35,-76.37,19.06
37.35,-76.35,18.98
37.35,-76.33,18.89
37.35,-76.27,16.73
37.35,-76.25,16.73
37.35,-75.49,14.66
37.35,-75.23,13.8
37.33,-76.63,21.14
37.33,-76.41,18.88
37.33,-76.39,18.85
37.33,-76.37,18.82
37.33,-76.35,18.09
37.33,-76.33,17.76
37.33,-76.31,16.86
37.33,-75.73,15.5
37.33,-75.71,15.46
37.33,-75.69,15.42
37.33,-75.51,14.58
37.33,-75.49,14.62
37.31,-76.37,18.34
37.31,-76.35,17.82
37.31,-76.33,17.12
37.31,-76.31,16.88
37.31,-75.73,15.4
37.31,-75.71,15.35
37.31,-75.53,14.62
37.31,-75.51,14.67
37.29,-76.37,19.42
37.29,-76.35,18.57
37.29,-76.33,17.94
37.29,-75.73,15.25
37.29,-72.89,13.55
37.29,-72.87,13.57
37.29,-72.85,13.58
37.29,-72.43,15.9
37.29,-72.41,15.83
37.29,-72.39,15.76
37.27,-76.37,19.75
37.27,-76.35,18.88
37.27,-75.77,15.45
37.27,-75.75,15.41
37.27,-75.73,15.27
37.27,-75.67,15.32
37.27,-75.11,13.18
37.27,-75.07,13.41
37.27,-74.91,13.46
37.27,-72.89,13.53
37.27,-72.87,13.53
37.27,-72.85,13.57
37.27,-72.83,13.82
37.27,-72.81,13.89
37.27,-72.79,13.99
37.27,-72.77,14.1
37.27,-72.75,14.19
37.27,-72.73,14.41
37.27,-72.49,15.94
37.27,-72.47,15.94
37.27,-72.45,15.88
37.27,-72.43,15.75
37.27,-72.41,15.74
