lat,lon,sst
41.51,-71.41,22.17
41.51,-71.39,22.17
41.51,-71.35,22.02
41.51,-71.23,23.29
41.51,-71.21,22.8
41.51,-71.01,21.84
41.51,-70.83,21.67
41.51,-70.77,22.43
41.51,-70.75,22.38
41.51,-70.73,22.34
41.51,-70.61,22.37
41.51,-70.59,22.35
41.51,-70.45,21.88
41.51,-70.43,21.83
41.51,-70.41,22.05
41.51,-70.39,21.92
41.51,-70.37,22.15
41.51,-70.35,23.28
41.51,-70.33,22.59
41.51,-70.25,23.03
41.51,-70.23,23.04
41.51,-69.69,16.53
41.51,-69.67,16.37
41.51,-69.65,16.29
41.49,-71.41,21.91
41.49,-71.35,21.96
41.49,-71.23,22.73
41.49,-71.21,22.19
41.49,-71.13,21.92
41.49,-71.11,21.87
41.49,-71.09,21.76
41.49,-71.07,21.75
41.49,-71.05,21.67
41.49,-71.03,21.82
41.49,-71.01,21.87
41.49,-70.99,21.88
41.49,-70.71,22.16
41.49,-70.69,22.16
41.49,-70.63,22.33
41.49,-70.61,22.37
41.49,-70.45,21.86
41.49,-70.41,21.3
41.49,-70.39,21.36
41.49,-70.37,22.13
41.49,-70.35,23.17
41.49,-70.33,23.19
41.49,-70.31,22.87
41.49,-70.29,22.78
41.49,-70.27,22.87
41.49,-70.25,22.91
41.49,-70.23,22.9
41.49,-69.69,16.05
41.49,-69.67,16.0
41.49,-69.65,15.99
41.49,-69.63,16.05
41.47,-71.41,21.72
41.47,-71.29,21.78
41.47,-71.27,21.94
41.47,-71.25,22.0
41.47,-71.23,22.02
41.47,-71.21,21.95
41.47,-71.15,21.65
41.47,-71.13,21.41
41.47,-71.11,21.17
41.47,-71.09,21.27
41.47,-71.07,21.62
41.47,-71.05,21.57
41.47,-71.03,21.62
41.47,-70.35,22.8
41.47,-70.33,22.52
41.47,-70.31,22.68
41.47,-70.29,22.76
41.47,-70.27,22.79
41.47,-70.25,22.79
41.47,-69.67,15.92
41.47,-69.65,15.98
41.47,-69.63,16.08
41.45,-71.43,21.74
41.45,-71.41,21.63
41.45,-71.39,21.46
41.45,-71.37,21.51
41.45,-71.33,21.94
41.45,-71.31,21.86
41.45,-71.29,21.57
41.45,-71.27,21.59
41.45,-71.25,21.57
41.45,-71.23,21.61
41.45,-71.21,21.58
41.45,-71.19,21.58
41.45,-71.17,21.63
41.45,-71.15,21.17
41.45,-71.13,20.89
41.45,-71.11,20.86
41.45,-71.09,20.94
41.45,-71.07,21.07
41.45,-70.89,20.67
41.45,-70.87,20.64
41.45,-70.77,20.83
41.45,-70.75,20.85
41.45,-70.27,22.79
41.45,-69.67,15.85
41.43,-71.45,21.58
41.43,-71.43,21.61
41.43,-71.41,21.56
41.43,-71.39,21.5
41.43,-71.37,21.5
41.43,-71.35,21.54
41.43,-71.33,21.76
41.43,-71.31,21.8
41.43,-71.29,21.35
41.43,-71.27,21.19
41.43,-71.25,21.34
41.43,-71.23,21.49
41.43,-71.21,21.18
41.43,-71.19,21.19
41.43,-71.17,20.71
41.43,-71.15,20.67
41.43,-71.11,20.59
41.43,-71.09,20.68
41.43,-70.83,20.43
41.43,-70.81,20.5
41.43,-70.77,20.86
41.43,-70.75,20.85
41.41,-71.45,21.57
41.41,-71.43,21.52
41.41,-71.41,21.51
41.41,-71.39,21.48
41.41,-71.37,21.4
41.41,-71.35,21.06
41.41,-71.33,20.9
41.41,-71.31,20.92
41.41,-71.29,20.93
41.41,-71.27,20.88
41.41,-71.25,20.81
41.41,-71.23,20.82
41.41,-71.21,20.83
41.41,-71.15,20.39
41.41,-71.13,20.35
41.41,-71.11,20.2
41.41,-70.93,20.33
41.41,-70.91,20.31
41.41,-70.89,20.25
41.41,-70.87,20.21
41.41,-70.85,20.2
41.41,-70.83,20.14
41.39,-71.51,20.74
41.39,-71.45,21.49
41.39,-71.43,21.27
41.39,-71.41,21.26
41.39,-71.39,21.3
41.39,-71.37,21.16
41.39,-71.35,20.87
41.39,-71.33,20.69
41.39,-71.31,20.67
41.39,-71.29,20.76
41.39,-71.27,20.7
41.39,-71.25,20.42
41.39,-71.23,20.45
41.39,-71.15,20.37
41.39,-71.13,20.35
41.39,-71.11,20.31
41.39,-70.93,20.05
41.39,-70.91,20.14
41.39,-70.89,20.0
41.39,-70.87,19.93
41.39,-70.85,20.0
41.37,-71.55,20.98
41.37,-71.53,20.94
41.37,-71.51,20.88
41.37,-71.47,21.46
41.37,-71.45,21.42
41.37,-71.43,21.23
41.37,-71.41,21.06
41.37,-71.39,20.89
41.37,-71.37,20.7
41.37,-71.35,20.57
41.37,-71.33,20.51
41.37,-71.31,20.51
41.37,-71.29,20.53
41.37,-71.27,20.48
41.37,-71.25,20.44
41.37,-71.15,20.34
41.37,-71.13,20.36
41.37,-71.11,20.39
41.37,-71.09,20.41
41.37,-70.95,20.01
41.37,-70.93,20.01
41.37,-70.91,20.03
41.37,-70.89,19.84
41.37,-70.87,19.75
41.37,-70.85,19.72
41.35,-71.65,21.24
41.35,-71.63,21.23
41.35,-71.61,21.22
41.35,-71.59,21.08
41.35,-71.57,21.05
41.35,-71.55,21.04
41.35,-71.53,21.11
41.35,-71.51,21.07
41.35,-71.49,21.08
41.35,-71.47,21.2
41.35,-71.45,21.25
41.35,-71.43,20.94
41.35,-71.41,20.66
41.35,-71.39,20.62
41.35,-71.37,20.61
41.35,-71.35,20.58
41.35,-71.33,20.54
41.35,-71.31,20.47
41.35,-71.29,20.47
41.35,-71.27,20.52
41.35,-71.25,20.57
41.35,-71.23,20.58
41.35,-71.17,20.46
41.35,-71.15,20.39
41.35,-71.13,20.42
41.35,-71.11,20.49
41.35,-71.09,20.45
41.35,-70.97,20.16
41.35,-70.95,20.18
41.35,-70.93,20.14
41.35,-70.91,20.14
41.35,-70.85,19.68
41.33,-72.09,19.59
41.33,-71.95,20.52
41.33,-71.93,20.38
41.33,-71.91,20.39
41.33,-71.89,21.04
41.33,-71.87,21.01
41.33,-71.71,20.74
41.33,-71.69,21.29
41.33,-71.67,21.25
41.33,-71.65,21.05
41.33,-71.63,20.69
41.33,-71.61,20.67
41.33,-71.59,20.62
41.33,-71.57,20.73
41.33,-71.55,21.02
41.33,-71.53,21.09
41.33,-71.51,21.03
41.33,-71.49,20.94
41.33,-71.47,20.93
41.33,-71.45,20.86
41.33,-71.43,20.77
41.33,-71.41,20.56
41.33,-71.39,20.64
41.33,-71.37,20.68
41.33,-71.35,20.67
41.33,-71.33,20.65
41.33,-71.31,20.63
41.33,-71.29,20.63
41.33,-71.27,20.65
41.33,-71.25,20.67
41.33,-71.23,20.89
41.33,-71.21,20.77
41.33,-71.19,20.72
41.33,-71.17,20.82
41.33,-71.15,20.72
41.33,-71.13,20.58
41.33,-71.11,20.53
41.33,-71.09,20.5
41.33,-70.97,19.8
41.33,-70.95,19.85
41.33,-70.93,19.9
41.33,-70.91,20.15
41.33,-70.89,20.14
41.33,-70.87,20.04
41.33,-70.85,19.68
41.33,-70.49,20.07
41.31,-72.35,20.41
41.31,-72.19,20.17
41.31,-72.15,20.26
41.31,-72.09,19.59
41.31,-72.07,19.59
41.31,-72.05,19.58
41.31,-72.03,19.5
41.31,-71.99,19.97
41.31,-71.97,20.19
41.31,-71.95,20.11
41.31,-71.93,20.14
41.31,-71.91,20.16
41.31,-71.89,20.58
41.31,-71.83,20.44
41.31,-71.81,20.62
41.31,-71.79,20.75
41.31,-71.77,20.81
41.31,-71.75,20.73
41.31,-71.73,20.78
41.31,-71.71,20.91
41.31,-71.69,21.01
41.31,-71.67,20.76
41.31,-71.65,20.63
41.31,-71.63,20.51
41.31,-71.61,20.45
41.31,-71.59,20.38
41.31,-71.57,20.18
41.31,-71.55,20.47
41.31,-71.53,21.01
41.31,-71.51,21.03
41.31,-71.49,20.92
41.31,-71.47,20.78
